,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,natal,-5.795,-35.2094,86.0,58,40,19.57,BR,2021-02-01
301,awbari,26.5921,12.7805,54.86,40,0,7.07,LY,2021-02-01
302,prachuap khiri khan,12.2167,99.75,68.79,60,8,2.93,TH,2021-02-01
303,zhuanghe,39.7008,122.9911,12.0,33,0,1.99,CN,2021-02-01
304,buala,-8.145,159.5921,81.21,78,100,14.52,SB,2021-02-01
305,gold coast,-28.0,153.4333,71.01,94,90,4.61,AU,2021-02-01
306,barentu,15.1139,37.5928,68.68,64,0,5.48,ER,2021-02-01
307,waipawa,-41.4122,175.5153,59.0,82,0,2.3,NZ,2021-02-01
308,atar,20.5169,-13.0499,78.94,15,77,11.05,MR,2021-02-01
309,maragogi,-9.0122,-35.2225,81.52,68,100,11.59,BR,2021-02-01
310,phangnga,8.4509,98.5298,77.0,88,75,1.14,TH,2021-02-01
311,tres de maio,-27.7733,-54.24,88.0,66,1,4.0,BR,2021-02-01
312,jalpan,21.2333,-99.4833,67.55,38,1,5.97,MX,2021-02-01
313,itoman,26.1247,127.6694,64.4,77,40,2.3,JP,2021-02-01
314,boyolangu,-8.1181,111.8935,74.79,89,51,5.19,ID,2021-02-01
315,plettenberg bay,-34.0527,23.3716,62.08,69,0,12.48,ZA,2021-02-01
316,la ronge,55.1001,-105.2842,15.8,86,100,6.91,CA,2021-02-01
317,mareeba,-17.0,145.4333,73.4,88,99,2.3,AU,2021-02-01
318,manta,-0.95,-80.7333,84.2,70,40,9.22,EC,2021-02-01
319,inta,66.0317,60.1659,9.46,89,96,14.74,RU,2021-02-01
320,maun,-19.9833,23.4167,77.0,94,75,5.75,BW,2021-02-01
321,niquelandia,-14.4739,-48.4597,87.55,50,81,1.77,BR,2021-02-01
322,burnie,-41.0667,145.9167,51.01,79,0,8.01,AU,2021-02-01
323,kavaratti,10.5669,72.642,81.59,73,0,7.81,IN,2021-02-01
324,tiksi,71.6872,128.8694,-24.38,87,100,10.04,RU,2021-02-01
325,bilibino,68.0546,166.4372,-5.17,85,100,11.43,RU,2021-02-01
326,sajokaza,48.2833,20.5833,32.0,69,75,2.3,HU,2021-02-01
327,ranong,9.9658,98.6348,72.68,85,3,3.67,TH,2021-02-01
328,antofagasta,-23.65,-70.4,73.99,68,20,18.41,CL,2021-02-01
329,szany,47.4642,17.304,32.0,59,0,2.3,HU,2021-02-01
330,tay ninh,11.3,106.1,73.54,74,37,4.7,VN,2021-02-01
331,severo-kurilsk,50.6789,156.125,19.22,91,90,22.17,RU,2021-02-01
332,abu kamal,34.4506,40.9171,54.28,51,0,8.63,SY,2021-02-01
333,katsuura,35.1333,140.3,61.0,82,75,28.77,JP,2021-02-01
334,bandarbeyla,9.4942,50.8122,73.6,70,82,19.3,SO,2021-02-01
335,zeya,53.75,127.2667,-32.22,76,100,4.92,RU,2021-02-01
336,medicine hat,50.0501,-110.6683,43.0,52,75,4.61,CA,2021-02-01
337,brits,-25.6347,27.7802,68.0,94,20,2.3,ZA,2021-02-01
338,divicani,44.3667,17.3261,33.8,80,40,4.12,BA,2021-02-01
339,koslan,63.4564,48.8989,18.75,96,100,13.09,RU,2021-02-01
340,ostrovnoy,68.0531,39.5131,18.41,96,100,11.68,RU,2021-02-01
341,ormara,25.2088,64.6357,70.68,80,0,7.96,PK,2021-02-01
342,chicama,-7.8447,-79.1469,73.4,73,0,10.36,PE,2021-02-01
343,itaocara,-21.6692,-42.0761,88.63,56,78,4.18,BR,2021-02-01
344,coihaique,-45.5752,-72.0662,75.2,29,0,8.05,CL,2021-02-01
345,niamey,13.5137,2.1098,86.0,7,100,4.61,NE,2021-02-01
346,puri,19.8,85.85,62.6,82,0,2.26,IN,2021-02-01
347,bolobo,-2.1667,16.2333,78.39,74,45,1.95,CD,2021-02-01
